0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30
1,Type,Names,Interview,scale,scale,scale,Action,Action,Action,Action,Action,Action,Action,relationship,relationship,relationship,relationship,Notes,Themes,Programs,Data,Collaborators,Point of Contact,,,
2,Type,Name,Interview,Site,City,Region,Fundraising,Technical Assistance,"Maintenace, Construction, Restoration",Education and Public Engagement,Workforce,Volunteer,Land Use and Control,Partner,Parallel,Opposing,Separate,Notes,Themes,Programs,Data,Collaborators,Point of Contact,,,
3,Non-Profits,Allegheny Cleanways,Yes,1,1,1,0,0,2,0,2,2,0,1,0,0,0,,,,,"Northside Leadership Conference, PPC, City of Pittsburgh",,,,
4,Non-Profits,Allegheny Commons Initiative,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
5,Non-Profits,Allegheny Land Trust,,1,0,1,2,2,??,0,0,??,2,??,??,0,0,Has a conservation easement in Emerald View Park.,,,,Pennsylvania Land Trust Association,,,,
6,Non-Profits,Allegheny Watershed Alliance,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Now part of ACCD, Partnered with Allegheny County, 3RWW, Local Government Academy, ALCOSAN, PWSA, Penn's Corner RC&D Council, PACD, Penn State Center, PENN DEP, PENN Dept. Ag., NRCS, DCNR.",,,,,,,,
7,Non-Profits,BikePGH,,0,1,0,0,2,0,2,0,0,0,??,??,0,1,Many local corporate sponsors.,,,,,,,,
8,Non-Profits,Design Center Pittsburgh,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
9,Non-Profits,GASP,,0,0,1,0,0,0,2,0,0,0,0,0,0,2,,,,,,,,,
10,Non-Profits,Green Building Alliance,,0,1,1,0,0,0,2,0,0,0,0,0,0,1,Corporate and Foundation support.,,,,,,,,
11,Non-Profits,Grow Pittsburgh,,1,1,1,0,0,2,0,0,2,0,0,1,0,0,,,,,,,,,
12,Non-Profits,GTECH Strategies,,1,1,0,0,2,??,2,0,??,0,??,??,0,0,,,,,,,,,
13,Non-Profits,Hollow Oak Land Trust,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
14,Non-Profits,Mount Washington CDC,,1,0,0,2,0,2,2,0,0,0,1,0,0,0,,,,,,,,,
15,Non-Profits,Nine Mile Run Watershed Assn.,,1,0,0,0,0,2,2,0,2,0,??,1,0,0,,,,,,,,,
16,Non-Profits,Paddle Without Pollution,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
17,Non-Profits,PA Environmental Council,,0,0,1,2,0,0,0,0,0,0,??,0,0,??,Industrial Heartland Trails Coalition,,,,,,,,
18,Non-Profits,Penn State Center,,0,0,1,0,2,0,0,0,0,0,1,0,0,0,,,,,,,,,
19,Non-Profits,Pittsburgh Climate Initiative,,,1,,,,,,,,,,,,1,,,,,,,,,
20,Non-Profits,Pittsburgh Parks Conservancy,,1,1,,2,2,2,2,,2,2,1,,,,,"Entire City as a Park, comprehensive greenspace mapping (especially of greenways) is important, PPC oes ecological assesssment and implementation projects, Urban Ecostewards.",Urban Ecostewards,"PPC databases: Treekeeper, tree data, PPC volunteer effortts, integrated vegetation management protocol.","Communities (south oakland greenway), Hill Hollow, Allegheny Land Trust, REI/AEO, Nine Mile Run","Erin Copeland, Senior Restoration Ecologist
Katheryn Hunninen, Senior Manager of Special Initiatives (previously MWCDC)
Judith Koch, Landscape and Volunteer Coordinator",,,
21,Non-Profits,,,,,,,,,,,,,,,,0,,,,,,,,,
22,Non-Profits,Riverlife,,,1,,,2,,,,,,,1,,1,,,,,,,,,
23,Non-Profits,Scenic Pittsburgh,,,1,,,2,,2,,,2,,1,,,,,,,,,,,
